Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential,Type,Congenital_Ailments,Lifetime_Cost,Longevity_Years,Number_of_Congenital_Ailments,Purchase_Price,Food_Costs_Per_Year,Grooming_Frequency
Miniature Pinscher,3.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0,,,,,,,,
Miniature Schnauzer,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,terrier,"liver,sinus problems",20087,11.81,2,715,405,Once a week
Mudi,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
Mutt,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
Neapolitan Mastiff,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
Newfoundland,3.0,5.0,3.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,2.0,3.0,working,"hip problems, heart defects",19351,9.32,2,1178,710,Once a week
Norfolk Terrier,4.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,terrier,none,24308,13.07,0,2083,466,Once a week
Norwegian Buhund,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,,,,,,,,
Norwegian Elkhound,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,,,,,,,,
Norwegian Lundehund,3.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,5.0,,,,,,,,
Norwich Terrier,4.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,
Nova Scotia Duck Tolling Retriever,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,,,,,,,,
Old English Sheepdog,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,herding,hip problems,22611,11.19,1,832,710,Daily
Otterhound,3.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,5.0,,,,,,,,
Papillon,3.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,toy,"cataracts,hair loss,heart problems,eye problems,blood clotting disorders",21001,13.0,5,740,324,Once a week
Peekapoo,4.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,,,,,,,,
Pekingese,3.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0,toy,knee problems,20565,11.56,1,885,466,Daily
Pembroke Welsh Corgi,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,herding,"cataracts,eye problems,connective tissue,nerves,kidneys,spinal problems,blood clotting disorders",23978,12.25,7,587,674,Once a week
Petit Basset Griffon Vendeen,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,,,,,,,,
Pharaoh Hound,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0,4.0,hound,none,21047,11.83,0,913,466,Once a week
Plott,2.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,,,,,,,,
Pocket Beagle,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0,,,,,,,,
Pointer,2.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0,5.0,sporting,hip problems,24445,12.42,1,294,710,Once a week
Polish Lowland Sheepdog,4.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,
Pomeranian,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0,toy,heart problems,15792,9.67,1,670,324,Once a week
Pomsky,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0,,,,,,,,
Poodle,4.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,non-sporting,"fatal stomach bloat,skin disorder",21237,11.95,2,900,466,Once a week
Portuguese Water Dog,3.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,
Pug,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,toy,'dry eye',18527,11.0,1,469,405,Once a week
Puggle,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,,,,,,,,
Puli,3.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,,,,,,,,
Pyrenean Shepherd,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,,,,,,,,
Rat Terrier,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,,,,,,,,
Redbone Coonhound,3.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,,,,,,,,
Rhodesian Ridgeback,3.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,hound,"birth defects,hip problems",16530,9.1,2,995,466,Once a week
Rottweiler,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,working,"heart problems,elbow problems,hip problems",18886,9.11,3,1118,710,Once a week
Saint Bernard,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,working,"heart problems,hip disorders,fatal stomach bloat",20022,7.78,3,875,1217,Daily
Saluki,2.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,hound,none,24866,12.0,0,1525,710,Daily
Samoyed,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0,working,hip problems,25352,12.44,1,1162,710,Once a week
Schipperke,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,,,,,,,,
Schnoodle,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,,,,,,,,
Scottish Deerhound,3.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,
Scottish Terrier,3.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,terrier,blood clotting disorder,17525,10.69,1,829,324,Daily
Sealyham Terrier,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,
Shetland Sheepdog,3.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0,herding,"eye problems,deafness,skin problems,heart problems,blood clotting disorders",21006,12.53,5,465,405,Daily
Shiba Inu,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,,,,,,,,
Shih Tzu,3.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,toy,eye problems,21152,13.2,1,583,324,Daily
Siberian Husky,3.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,working,none,22049,12.58,0,650,466,Once in a few weeks
Silken Windhound,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,
Silky Terrier,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,,
Skye Terrier,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,
Sloughi,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,,,,,,,,
Small Munsterlander Pointer,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,,,,,,,,
Soft Coated Wheaten Terrier,3.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,,,,,,,,
Stabyhoun,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,,,,,,,,
Staffordshire Bull Terrier,2.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,terrier,hip problems,21650,12.05,1,1145,466,Once a week
Standard Schnauzer,3.0,3.0,5.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,,,,,,,,
Sussex Spaniel,4.0,5.0,2.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,,,,,,,,
Swedish Vallhund,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,,,,,,,,
Tibetan Mastiff,3.0,4.0,3.0,3.0,3.0,1.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,,,,,,,,
Tibetan Spaniel,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0,non-sporting,none,25549,14.42,0,1050,466,Once a week
Tibetan Terrier,4.0,4.0,5.0,2.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,non-sporting,none,20336,12.31,0,1140,324,Once a week
Toy Fox Terrier,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,,,,,,,,
Treeing Tennessee Brindle,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,,,,,,,,
Treeing Walker Coonhound,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,,,,,,,,
Vizsla,3.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,1.0,1.0,4.0,5.0,,,,,,,,
Weimaraner,3.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,1.0,3.0,4.0,5.0,,,,,,,,
Welsh Springer Spaniel,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,sporting,hip problems,20224,12.49,1,750,324,Once a week
Welsh Terrier,3.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,,,,,,,,
West Highland White Terrier,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,terrier,"lion jaw,dry eye,skin problems",20490,12.8,3,538,324,Once a week
Whippet,3.0,5.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,hound,none,20976,12.87,0,915,324,Once a week
Wirehaired Pointing Griffon,3.0,5.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,
Yorkipoo,4.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,3.0,1.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,
Yorkshire Terrier,3.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,3.0,toy,"knee,liver,trachea,eye disorders",20701,12.6,4,1057,324,Daily
